
from, to, text
0,7, بسم الله الرحمن الرحيم ، أهلا بحضرتكم في فيديو خاص تعليقا على النصر المظفر والمبين
7,14, اللي حققه الأستاذ خالد البلشي في نقابة الصحفيين وفوزه بمنصب نقيب الصحفيين
14,24, تقدر تقول كأول نقيب مستقل تماما ، يعني خارج من حتى ما كان يعرف بمؤسسات الجنوب الصحفي
24,35, هي مؤسسات الفقيرة زي روز اليوسف ودار الهلال اللي كان بيطلع منها نقباء يعني بعضهم مدعوم حكوميا وبعضهم غير ذلك أو مستقلين
35,44, لكن هنا بتتكلم عن نقيب أولا محسوب بشكل واضح على قوى المعارضة ، على اليسار ، على الثورة يناير
44,52, بشكل لا يدع مجال للشك ، بتتكلم عن نقيب صحفيين رئيس تحرير ليه مش بس موقع محجوب
52,62, اللي هو موقع درب وإنما لعدة مواقع صحفية محجوبة متتالية بدأها بموقع كاتب ثم موقع البداية ثم موقع درب
62,73, وكان في حالة من المطاردة بينه وبين السلطات الحاجبة لدرجة أنه أسرع مواقع كنت تتحجب هي اللي لها علاقة بخالد البلشي
74,80, فأنت عندك هنا حدث ، لو في الأيام العادية يبقى حدث كبير
80,89, اللي هو الأيام الاستبداد المباركي ناعم المخالب اللي بيدير النقابات بالتليفون وبشكل يعني
89,97, فيه نوع من أنواع المرونة والسلاسة فما بالك بهذه الأيام اللي الحكاية فيها يعني حفرة على الناشف
97,106, وفيها غشومية في إدارة العمل السياسي والنقابي مما يعطي لهذا الفوز دلالاته كبيرة جدا
106,120, وخصوصا أنه مش فوز فردي وإنما الفوز مجموعة أسماء وانهزام بعضه يعني فاضح وبعضه عادي لمجموعة أسماء محسوبة على النظام
120,133, ولا تجد أي حرج في ذلك يعني وفوز كمان في مواجهة مال يعني يصل إلى فكرة أنه يبقى فيه يتندر الصحفين على وجود كاراتين لبشارة
133,143, طبعاً ده كان يوم الكاراتين العظيم عبد الفتح السيسي في الاستاد بيوزع كاراتين ورجالته في نقابة الصحفين بيوزعوا كاراتين مشويات
143,154, متخيلين أنه ده هيحسم موضوع نقابة الصحفين طبعاً مشهد الاستاد ده احنا تكلمنا عنه قبل كده اللي هو في إطار احتقار المصريين ومش هأكرر الحديث عنه
154,163, ويعني يبدو أنه ما فيش أي حد عاقل حتى في النظام مستعد أنه ينبه إلى خطورة المشاهد
163,176, أنا مبارحة كنت بتفرج على قناة من القنوات التلفزيونية الحكومية كلها طبعاً قنوات حكومية مشاهد مرعبة في انحططها واحتقارها للناس
176,183, وأنك تظهر زباط شرطة هم بيوزعوا كاراتين على الناس وجايبهم بوشهم وبتمنى عليهم
183,192, ما فيش حد بيفكر لأ خلاص هو الموضوع يعني ايدك والأرض ما فيش حد حتى مدرك خطورة داع لشكل البلد
192,207, أو أنه بلد يعني بتحتفل بخبتها ومش قادرة حتى تدير المشهد المزري بتاع الفقر بشكل يعني فيه حفظ شوية لكرامة الناس
208,212, فانت بتتكلم في نقابة الصحفيين اللي هي نقابة من نقابات الرأي
212,218, وبتتكلم عن مشهد تقدر تضعه في صورة أكبر اللي هو ما حدث في نقابة الأطباء
